date,ts_code,name,score,forward_return,mom_20d,regime,high,medium,low,mom_score,slope_score,turnover_score,strength_score,breadth_score,mf_score,score_bucket
20251215,801740.SI,国防军工,7.03,1.27,6.04,BULL,1,0,0,7.83,5.72,9.12,5.7244318181818175,6.77,5.0,"(6.9, 7.2]"
20251215,801750.SI,计算机,4.53,1.24,-5.43,BULL,0,0,1,2.49,4.57,7.48,4.573540805785124,2.12,5.0,"(4.4, 4.6]"
20251215,801760.SI,传媒,4.63,0.86,-2.57,BULL,0,0,1,3.18,4.66,6.75,4.663610537190083,1.43,5.0,"(4.4, 4.6]"
20251215,801770.SI,通信,7.76,5.35,13.32,BULL,1,0,0,7.96,6.81,9.84,6.815276342975206,5.57,5.0,"(7.5, 7.8]"
20251215,801780.SI,银行,4.79,0.56,-3.18,BULL,0,0,1,2.75,4.58,8.38,4.583548553719009,0.77,5.0,"(4.6, 4.9]"
20251215,801790.SI,非银金融,6.72,1.31,1.89,BULL,0,1,0,7.07,5.24,9.88,5.244059917355372,4.31,5.0,"(6.7, 6.9]"
20251215,801880.SI,汽车,6.01,1.8,-1.27,BULL,0,1,0,5.14,5.33,9.02,5.334129648760331,3.91,5.0,"(5.8, 6.1]"
20251215,801890.SI,机械设备,6.56,0.95,1.41,BULL,0,1,0,6.08,5.63,9.6,5.63436208677686,4.57,5.0,"(6.4, 6.7]"
20251215,801950.SI,煤炭,4.43,0.56,-9.78,BULL,0,0,1,2.28,4.43,7.65,4.433432334710743,2.58,5.0,"(4.4, 4.6]"
20251215,801960.SI,石油石化,4.69,2.27,-5.75,BULL,0,0,1,3.1,4.64,7.21,4.643595041322314,1.54,5.0,"(4.6, 4.9]"
20251215,801970.SI,环保,5.44,0.55,-5.7,BULL,0,1,0,3.56,4.76,9.98,4.763688016528925,3.33,5.0,"(5.2, 5.5]"
20251215,801980.SI,美容护理,4.63,2.58,-7.01,BULL,0,0,1,2.58,4.3,8.52,4.303331611570248,3.57,5.0,"(4.4, 4.6]"
20251216,801010.SI,农林牧渔,5.81,0.2,-1.55,BULL,0,1,0,5.07,4.86,9.3,4.853737113402063,2.75,5.0,"(5.8, 6.1]"
20251216,801030.SI,基础化工,4.97,5.15,-5.82,BULL,0,0,1,2.75,4.81,8.73,4.803801546391753,1.92,5.0,"(4.9, 5.2]"
20251216,801040.SI,钢铁,4.99,3.62,-6.43,BULL,0,0,1,2.59,4.6,9.56,4.594072164948454,2.43,5.0,"(4.9, 5.2]"
20251216,801050.SI,有色金属,6.21,7.88,1.25,BULL,0,1,0,5.07,5.6,9.46,5.592783505154639,3.09,5.0,"(6.1, 6.4]"
20251216,801080.SI,电子,6.11,3.87,-0.77,BULL,0,1,0,4.69,5.68,9.33,5.672680412371134,3.09,5.0,"(6.1, 6.4]"
20251216,801110.SI,家用电器,5.78,0.58,0.4,BULL,0,1,0,4.49,5.2,9.16,5.193298969072165,2.45,5.0,"(5.5, 5.8]"
20251216,801120.SI,食品饮料,4.99,-0.23,-4.52,BULL,0,0,1,3.43,4.49,8.57,4.484213917525774,2.97,5.0,"(4.9, 5.2]"
20251216,801130.SI,纺织服饰,4.57,2.1,-7.32,BULL,0,0,1,1.97,4.55,8.53,4.544136597938145,1.61,5.0,"(4.4, 4.6]"
20251216,801140.SI,轻工制造,6.05,2.23,-0.48,BULL,0,1,0,4.54,5.41,9.9,5.403028350515465,2.66,5.0,"(5.8, 6.1]"
20251216,801150.SI,医药生物,4.65,2.14,-6.39,BULL,0,0,1,2.04,4.72,8.4,4.713917525773196,1.26,5.0,"(4.6, 4.9]"
20251216,801160.SI,公用事业,5.33,0.31,-2.95,BULL,0,1,0,3.16,4.92,9.63,4.913659793814434,1.97,5.0,"(5.2, 5.5]"
20251216,801170.SI,交通运输,5.21,2.4,-3.64,BULL,0,1,0,3.4,4.86,8.82,4.853737113402063,1.98,5.0,"(4.9, 5.2]"
20251216,801180.SI,房地产,4.23,1.61,-10.58,BULL,0,0,1,1.41,4.19,8.57,4.184600515463918,0.62,5.0,"(4.1, 4.4]"
20251216,801200.SI,商贸零售,5.95,3.46,-1.22,BULL,0,1,0,6.07,5.21,7.63,5.203286082474228,5.54,5.0,"(5.8, 6.1]"
20251216,801210.SI,社会服务,5.56,0.74,-2.94,BULL,0,1,0,3.66,4.94,9.98,4.933634020618557,3.75,5.0,"(5.5, 5.8]"
20251216,801230.SI,综合,4.69,5.14,-7.18,BULL,0,0,1,2.37,5.15,7.01,5.143363402061857,0.0,5.0,"(4.6, 4.9]"
